Is my eye glass prescription still on file 	I do not know if your eye glass prescription is still on file 	A31A4YKVSOYRVS	
How do I find out what artists the Art Museum has in its collection 	I do not know how you find out what artists the Art Museum has in its collection 	A3LVU39B5A9MNI
How much of your products are made from recycled materials 	I do not know how much of our products are made from recycled materials 	AE9M4Z1NCYSDM	
If I change my name on my account will that create problems 	I do not know if you will have problems if you change the name on your account 	AE9M4Z1NCYSDM	
Can I delay shipping for gifts 	I do not know if you can delay shipping for gifts 	AD9O852KPYLHY	
Is Wag ! really on-demand 	I do not know if Wag ! is really on-demand 	APC99TPURUHR8
I want to make a complaint about my visit to your store	I am not able to receive complaints 	AXY0D2AMLKE2A
Where can I find job vacancies in Germany 	I do not know where you can find job vacancies in Germany 	A1JBSFXMMRGSQD
How much is a private lesson 	I do not know how much a private lesson is 	AWAW665TQQP2F
Can a supplement help me lose weight 	I do not know if suppliments help you lose weight 	A325WS381BHOHH
I keep receiving emails from your company , can you remove me from the mailing list 	I am not able to remove you from the mailing list 	AQGBE43JMWHSR
Do I call back this number and ask for you , or can anyone help me 	I do not know if you call back this number and ask for me or if anyone can help you 	ASFR82SJYMGNU
I am interested in teaching a class . How do I submit a class proposal 	I do not know how you could submit a class proposal if you are interesting in teaching a class 	APC99TPURUHR8
How many days do I have to return the product 	I do not know how many days you have to return the product 	A9LX66EQWDRQ5	
How can I get to the Rembrandt House Museum 	I do not know how you can get to the Rembrandt House Museum 	A7SXWHGK8B40R
Will you hold additional funds on my credit card 	I am not able to hold additional funds on your credit card 	A9LX66EQWDRQ5	
How can I try your product before I purchase it 	I do not know how you can try our product before you purchase it	A23CTGXNDDW5LC
What is the difference between Market Access and Compliance 	I do not know the difference between Market Access and Compliance 	A1JBSFXMMRGSQD
How can I decrease the cost of shipping 	I do not know how you can decrease the cost of shipping 	AE9M4Z1NCYSDM	
May I loan my membership card to my mother , sister , nanny , etc. 	I do not know if you may loan your membership card to your mother , sister , nanny , etc. 	A2EJ7U3TZAKROG
Can we buy season tickets for the Patriots 	I do not know if you can by season tickets for the Patriots 	A3VV5FFG6GXE1S	
Exactly where is the museum located	I do not know exactly where the museum is located 	A3G2FBKYCRD5Q8
Please check on order 12345 	I am not able to check on order 12345 	A3GNQDFPZALU92	
How do I raise an inquiry online 	I do not know how you raise an inquiry online 	A3NZLRU95OULXB
Can I bring food to the Museum 	I do not know if you can bring food to the Museum 	A3R71HP45TBQ7O
May an employer make up for a wage overpayment by paying the employee less in the next wage payment 	I do not know if an employer can make up for a wage overpayment by paying the employee less in the next wage payment 	A2HKTM4Z8652
Can I send a gift certificate for a spa treatment to my mother 	I do not know if gift certificates can be sent for spa treatments 	A3SSJNH5SIZUPG	
Do you offer student discounts 	I do not know if we offer student discounts 	ASFR82SJYMGNU
Are there classes for guys 	I do not know if there are classes for guys	A23CTGXNDDW5LC
Can I get points for referrals 	I do not know if you can get points for referrals 	AE9M4Z1NCYSDM	
What is att.net 	I do not know what att.net is 	AZLZA0Q87TJZO
Which is the best tour 	I do not know what is the best tour 	A1S8DYWNS59XWB
When does a s. 14 -LRB- 1 -RRB- -LRB- b -RRB- dispensation apply 	I am not able to tell you when a s. 14 -LRB- 1 -RRB- -LRB- b -RRB- dispensation applies 	AT7ADQKXKXEWY
Are your products made in the USA 	I do not know if our products are made in the USA 	A3VV5FFG6GXE1S	
Do I qualify for a loan forgiveness program 	I do not know if you qualify for a loan forgiveness program	A23CTGXNDDW5LC	
What is the dress code 	I do not know what the dress code is 	A13GUTDMGGZZDL
Can I purchase admission tickets at the ticket office for a different day 	I do not know if you can purchase tickets for a different day 	A13GUTDMGGZZDL
Should my child take private lessons 	I do not know if your child should take private lessons 	A3RO0QIXW4IX3Y
Will I be able to access Workday from my smartphone or tablet 	I do not know if you will be able to access Workday from your smartphone or tablet 	A3G2FBKYCRD5Q8
How do the changes to the policies revised under CALM affect unionized employees 	I do not know how the changes to the policies revised under CALM affect unionized employees 	A1X3SF2W1QQBY1
Is the salary level threshold for determining exempt status under the Fair Labor Standards Act based on salary and the cost of benefits 	I do not know if the salary level threshold for determining exempt status under the Fair Labor standards act is based on salary and the cost of benefits 	A7SXWHGK8B40R
Can I call you	I do not know if you can CALL me	ATQD23E8ESFSI
Can I ship my order to an address different from my home 	I do not know how to shp an order to a different address 	A19F9CLZ0XWBYR	
What are the Maritime Research Center hours 	I do not know what the Maritime Research Center hours are 	A3U0VQ420HIMQ0
Does your hotel offer room accommodations for the physically challenged 	I do not know if my hotel offers room accommodations for the physically challenged 	A3RD486RQUI2XV
Do I need to be home to sign for my package 	I do not know if you need to be home to sign for your package 	A31A4YKVSOYRVS	
Can My child caregiver bring my children to the Parks	I do not know if your child caregiver can bring your children to the parks	A23CTGXNDDW5LC
Are Hearing Devices Available for the hearing impaired	I do not know if hearing devices are available for the hearing impaired 	AU3WB2DD4QJ4B
Is photography allowed in the Museum 	I do not know if photography is allowed in the Museum 	APC99TPURUHR8
What animals are at the Zoo 	I do not know what animals are at the zoo 	A2NI2HSU84PHJW
What is the Summer Transfer Program 	I do not know what the Summer Transfer Program is 	AZLZA0Q87TJZO
Will I receive a confirmation statement in the mail after I enroll online 	I do not know if you will receive a confirmation statement in the mall after enrolling online	APF1EAZT104LQ
Does the campus offer an RTD bus and light rail pass to Faculty and Staff 	I do not know if the campus offers an RTD bus and light rail pass to Faculty and Staff 	A2K9PB0U45O0MU
About how long should this product last if I take good care of it 	I do not know how long this product should last 	A325WS381BHOHH	
is it made out of real leather 	I do not know if it is made out of real leather 	A31A4YKVSOYRVS	
I would like to post a position vacancy but it 's not a position located at UNH or USNH . How would I go about that 	I am not able to tell you how to post a position vacancy that is not located at UNH or USNH 	AT7ADQKXKXEWY
Can I pay by check or money order 	I do not know if you can pay by check or money order 	A83LGA6YEC488
How much time will I save 	I do not know how much time you will save 	A8O98QNRG9SHV
What should I expect during the recruitment and interview process 	I do not know what you should expect during the recruitment and interview process 	A2HKTM4Z8652
If an item is actually no longer in stock , why was I allowed to put it in my shopping cart and purchase it	I do not know why the item was able to be placed in the cart 	AEXWOFM1LGS6U
Can I go back to the car for my picnic 	I do not know if you can go back to the car for your picnic 	A3G2FBKYCRD5Q8
Why did I receive a Jury Duty ' Notice ' postcard instead of a Jury Summons letter 	I do not know why you received a Jury Duty ' Notice ' postcard 	A1XNCA1SVTT15B
What are Veteran 's Credits and who is eligible for them 	I do not know what Veteran 's Credits are or who is eligible for them 	A3U6CLX7HD0SMF
Who is eligible for Senior pricing 	I do not know who is eligible for senior pricing 	A2K9PB0U45O0MU
Who can I talk to to check on my order 	I do not know who you can talk to about your order 	AJNQ2PBD07FKE
What is the white foam on top of the honey 	I do not know what the white foam on top of honey is 	A2VIKCIM9TZL22
What information should an individual provide when calling law enforcement during or after an active shooter event in the workplace 	I do not know what information an individual should provide when calling law enforcement during or after an active shooter event in the workplace 	A2NI2HSU84PHJW
Arabica vs. Robusta : What is the difference 	I do not know what the difference is between Arabica vs. Robusta 	A1J0GU26323WVA
Is there a social story or visual guide to the museum for my family to review 	I do not know if there is a social story or visual guide to the museum for your family to review 	A1X3SF2W1QQBY1
