It says it was delivered but nothing has arrived yet . Where is it 	I do not know where it is 	A1YKWG46AWMPUX	
What are the ATM fees at your bank 	I do not know the ATM fees at our bank 	AXY0D2AMLKE2A
Where is the Pacific Coast Air Museum 	I do not know where the Pacific Coast Air Museum is 	AYSQP4FBX43KW
Is an employee 's business use of a company car a working condition fringe benefit 	I do not know if an employees business use of a company car is a working condition fringe benefit 	A2K9PB0U45O0MU
Are there any options with a lower APR 	I do not know if there are any options with a lower APR. 	A325WS381BHOHH	
Will items purchased for my business be eligible for the tax exemption during the sales tax holiday 	I do not know if items purchased for your business will be eligible for the tax exemption during the sales tax holiday 	A11IEP7J8XSE1C
How do I specify which dependents should be covered for health and which for vision and dental 	I do not know how to specifiy which dependents should be covered for health and which for vision and dental 	AE9M4Z1NCYSDM
Are you able to hint at any upcoming limited releases 	I am not able to hint at any upcoming limited releases	A23CTGXNDDW5LC
How often do large whales calve 	I do not know how often large whales calve 	A2NI2HSU84PHJW
Are there any exceptions to the employment at-will doctrine 	I do not know if there are any exceptions to the employment at-will doctrine 	A1JBSFXMMRGSQD
What is the cost of admission 	I do not know the price of admission 	A2K9PB0U45O0MU
The size of my jacket is too small and I 'd like to return it , how do I go about this 	I do not know how you would go about returning the jacket 	A30YFEIPGXNWJL
Can a hospice patient who shows signs of recovery be returned to regular medical treatment 	I do not know if a hospice patient who shows signs of recovery can be returned to regular medical treatment 	A2VIKCIM9TZL22
I would like to donate a medical object to the Museum . How do I do this 	I do not know how you can donate a medical object to the Museum 	AJ7E01X4TAGHL
How long will a design consultation take 	I do not know how long a design consultation will take 	A2TP3K1THK6XRB
What do I do if I need to pick up my child early from camp 	I do not know what to do if you need to pick up your child early from camp 	A2NI2HSU84PHJW
What is my Coalition ID and where do I find it 	I do not know what your Coalition ID is , or where to find it 	A1X3SF2W1QQBY1
Do you offer camping 	I do not know if camping is offered 	A1BWNS27NA1JAP
Am I allowed to leave the Alf Museum and come back 	I do not know if you can leave the Alf Museum and come back 	A8O98QNRG9SHV
What if I have more than one dog 	I do not know what you should do if you have more than one dog 	A13GUTDMGGZZDL
What 's the best pair of overalls you carry	I do not know what 's the best pair of overalls we carry 	A1YKWG46AWMPUX	
Can you tell me what my best bet is for an inexpensive but decent hotel in the Boston area 	I am not able to tell you what your best bet is for an inexpensive but decent hotel in the Boston area	3SD15I2WD2MGZ26W1Y3NU2L5E5L36M
What supporting documents will I need to submit 	I do not know what supporting documents you will need to submit 	A3I9FTHSULHPYS
Where can I PICK UP TICKETS BEFORE THE PAVILION STAGE PERFORMANCE	I do not know where to pick up tickets before the pavilion stage performance 	A3GVKU8KSX3RZU
Are you looking for alternatives to can liners with BPA for Coca-Cola or other beverage cans 	I do not know if I am alternatives to can liners with BPA for Coca-Cola or other beverage cans 	A1J0GU26323WVA
What should I do to keep my tree safe 	I do not know what you should do to keep your tree safe 	A2K2MFQMN31DZ
What should I do if the item is damaged 	I do not know what you should do if the item is damaged 	ASFR82SJYMGNU
I need a copy of my receipt please 	I am not able to give you a copy of your receipt 	A31A4YKVSOYRVS	
I 'm having trouble paying on your site , can you help me 	I am not able to help you pay on our site 	AE9M4Z1NCYSDM	
Will I have to pay a fee if I cancel my subscription early 	I do not know if you will have to pay a fee 	AMW07CJC3OJIB
Am I able to use the gift card online 	I do not know if you are able to use the gift card online 	AE9M4Z1NCYSDM	
Is there a commission arrangement for tour operators 	I do not know if there is a commission arrangement for tour operators	A23CTGXNDDW5LC
Can I bring food	I do not know if you can bring food 	A1JBSFXMMRGSQD
How often will the minimum salary level for most white-collar overtime exemptions and the minimum total annual compensation for a highly compensated employee -LRB- HCE -RRB- be updated 	I do not know how often the minimum salary level for most white-collar overtime exemptions and the minimum total annual compensation for a highly compensated employee -LRB- HCE -RRB- will be updated 	A3U0VQ420HIMQ0
What special offers do you have to upgrade my phone 	I do not know what specials we offer to upgrade your phone 	A31A4YKVSOYRVS	
Can you tell me what payment options are available 	I do not know what payment options are available 	A1V0HI6X82DUY4
What happens if a child and his/her caretakers get separated 	I do not know what happens if a child and his/her caretakers get separated 	A8O98QNRG9SHV
Can I add insurance or other equipment protection options for a device I purchased under a device payment agreement 	I do not know if you can add insurance or other equipment protection options for a device I purchased under a device payment agreement 	A2NI2HSU84PHJW
Can I smoke while I 'm at the Zoo 	I do not know if you can smoke at the zoo	APF1EAZT104LQ
Do you have a pay as you go plan 	I do not know if we have a pay as you go plan 	ASFR82SJYMGNU
Are there movie sets in the Alabama Hills that can be visited 	I do not know if the movie sets in the Alabama Hills can be visited 	A2NI2HSU84PHJW
What is the length of study for MBA programs in the U.S. 	I do not know what the length of study is for MBA programs in the U.S	A1L1IRHUNKLN01
Are there plenty in stock or can I wait a week 	I do not know if there are plenty in stock or if you can wait a week 	ASFR82SJYMGNU
Are authority records available free of charge 	I do not know if authority records are available free of charge 	A16NITTBMCSN0V
I have a painting in my possession . Can you tell me who painted it 	I am not able to tell you who painted it 	A13GUTDMGGZZDL
Q -- What time does the museum open and close	I do not know what time the Museum opens and closes 	A3CL6GEDFNQGQY
How early should a student apply 	I do not know how early a student should apply 	AZLZA0Q87TJZO
Is it better to update my old account or just make a new one 	I do not know if you should update your old account 	A3UJSDFJ9LBQ6Z
I wanted to change my rental car reservation . Can I change from a compact car to a premium car 	I am not able to change your reservation for you 	389A2A304OA9YRG0S2Y7E4F87FC0CG
Can an employee access Workday outside the U.S. 	I do not know if an employee can access Workday outside the U.S	A2NI2HSU84PHJW
Can you change my password 	I do not know if you can change your password 	A3VV5FFG6GXE1S	
I just received my new debit card and can not figure out how to set my PIN . Can you tell me how to do it 	I do not know how to set your PIN 	3Y7LTZE0YTE2M63QINWZE940WM1ZUG
What is a TCRG	I do not know what a TCRG is 	A13GUTDMGGZZDL
I received a product and I am not happy with its quality 	I do not know the quality of the product 	AJNQ2PBD07FKE
Are reservations required 	I do not know if reservations are required 	A3R71HP45TBQ7O
Can you smoke inside the zoo 	I do not know if you can smoke inside the zoo 	A2TP3K1THK6XRB
Can I use the menu app	I do not know if you can use the menu app 	A3GNQDFPZALU92	
What are the advantages of HeavenHR 	I do not know what the advantages of HeavenHR are 	A3RD486RQUI2XV
Do the adults who are driving have to pay for parking 	I do not know if the adults who are driving have to pay for parking 	A3G2FBKYCRD5Q8
My refund said that it would be processed in 5-7 days , but I do n't yet see it in my account . Who can I talk to about verifying that return 	I do not know who you can talk to 	3OJX0UFJ0ZZNGFLDEP201L27HJD9UB
Can you set up a monthly deduction for me 	I am not able to set up a monthly deduction for you	A23CTGXNDDW5LC
I have a permanent resident -LRB- green -RRB- card , why am I still considered an international student 	I do not know why you are still considered an international student if you have a permanent resident -LRB- green -RRB- card 	A3U0VQ420HIMQ0
I would like to know the status on my application that I have submitted 2 days ago	I am not able to tell you the status on the application that you have submitted 2 days ago	AYJGJAIY0EXW
Will you pay extra if the shop charges more than the original estimate 	I am not able to pay extra if the shop charges more than the original estimate 	A9LX66EQWDRQ5	
I am not able to submit my order with the sale price , as soon as I add in cart I do not see sale price , could you please help me	I am not able to submit your oder with the sale price , even if as soon as you add in cart you do not see the sale price 	3SZYX62S5GS2HH75YRW8FDJLNCW75F
Do you offer repair services for your bags 	I do not know if we offer repair services for our bags 	A3GNQDFPZALU92	
What is the difference between Pre-Ballet and ballet 	I do not know the differences between Pre-Ballet and ballet 	A2K9PB0U45O0MU
